Country,ISO,Region,Sub-region,Year,World Bank Classification,r_Gross Domestic Product (PPP),x_y_r_Life Expectancy,x_Social Indicator 2,x_y_r_GNI per capita,y_Economic Indicator 2
Afghanistan,AFG,Asia,Southern Asia,1990,1,,49.86105,,,
Albania,ALB,Europe,Southern Europe,1990,2,8940000000,71.95732,,680,
Algeria,DZA,Africa,Northern Africa,1990,2,171000000000,66.69459,,2360,
American Samoa,ASM,Oceania,Polynesia,1990,3,,,,,
Andorra,AND,Europe,Southern Europe,1990,,,,,16880,
Angola,AGO,Africa,Middle Africa,1990,2,34600000000,41.13834,,550,
Antigua and Barbuda,ATG,Americas,Caribbean,1990,3,686000000,71.16295,,5740,
Argentina,ARG,Americas,South America,1990,2,229000000000,71.54366,,3170,
Armenia,ARM,Asia,Western Asia,1990,0,8560000000,67.7478,,,
Aruba,ABW,Americas,Caribbean,1990,4,,73.38998,,,
Australia,AUS,Oceania,Australia and New Zealand,1990,5,296000000000,76.99463,,17220,
Austria,AUT,Europe,Western Europe,1990,5,149000000000,75.56829,,20560,
Azerbaijan,AZE,Asia,Western Asia,1990,0,39400000000,64.74637,,,
"Bahamas, The",BHS,Americas,Caribbean,1990,4,4020000000,70.63066,,11900,
Bahrain,BHR,Asia,Western Asia,1990,3,11300000000,72.50724,,7220,
Bangladesh,BGD,Asia,Southern Asia,1990,1,88395044692,58.41756,,310,
Barbados,BRB,Americas,Caribbean,1990,3,2240000000,71.17195,,7520,
Belarus,BLR,Europe,Eastern Europe,1990,0,53200000000,70.83659,,,
Belgium,BEL,Europe,Western Europe,1990,5,187000000000,76.05195,,19400,
Belize,BLZ,Americas,Central America,1990,2,627000000,71.28373,,2230,
Benin,BEN,Africa,Western Africa,1990,1,4710000000,53.42,,360,
Bermuda,BMU,Americas,Northern America,1990,4,1550000000,,,27100,
Bhutan,BTN,Asia,Southern Asia,1990,1,807000000,52.46232,,580,
Bolivia,BOL,Americas,South America,1990,2,16400000000,55.10729,,720,
Bosnia and Herzegovina,BIH,Europe,Southern Europe,1990,0,,70.78322,,,
Botswana,BWA,Africa,Southern Africa,1990,2,7220000000,62.55659,,2540,
Brazil,BRA,Americas,South America,1990,3,996000000000,65.34032,,2710,
British Virgin Islands,VGB,Americas,Caribbean,1990,,,,,,
Brunei Darussalam,BRN,Asia,South-eastern Asia,1990,4,14200000000,73.0512,,12600,
Bulgaria,BGR,Europe,Eastern Europe,1990,2,45200000000,71.64146,,2250,
Burkina Faso,BFA,Africa,Western Africa,1990,1,4810000000,49.36561,,330,
